sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	C50 Buddhist Studies-A 	24 English-Credit 	98 Music-Credit 	20A Music-A 	C70V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	25A Music-A 	98 Music-Credit 	C103 Public Policy-A 	61 Interdisciplinary Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	177 Dutch-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Interdisciplinary Studies-A 	R5A South & SE Asian Studies-A 	115 Global Poverty & Practice-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Legal Studies-A 	61 Molecular & Cell Biology-A 	C100 Development Studies-A 	R1B History of Art-A 	sem 5: 	major: ['Interdisciplinary Studies']: 	183 Anthropology-A 	1B Biology-A 	159AC Geography-A 	150 International & Area Stds-A 	sem 6: 	major: ['Interdisciplinary Studies']: 	8A Physics-B 	104 Gender & Womens Studies-Credit 	1A Chemistry-A 	1AL Chemistry-A 	158AC International & Area Stds-A 	sem 7: 	major: ['Interdisciplinary Studies']: 	189 Interdisciplinary Studies-A 	sem 8: 	major: ['Interdisciplinary Studies']: 	98 Mathematics-Credit 	3A Chemistry-A 	16A Mathematics-A 	123 Geography-A 	3AL Chemistry-A 
label: 	['105 Global Poverty & Practice', '3BL Chemistry', '1A Biology', '3B Chemistry', '1AL Biology']
sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1AL Chemistry-A 	R1B History-A 	10A Mathematics-A 	10 Bioengineering-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	50 Slavic Languages & Lit-A 	24 Integrative Biology-A 	10B Mathematics-A 	3A Chemistry-A 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	17A Classics-A 	1 Psychology-B 	8A Physics-B 	3B Chemistry-B 	3BL Chemistry-A 	84 Astronomy-Credit 
label: 	['1AL Biology', '8B Physics', '1A Biology', '25 Letters & Science', 'C188C History']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Nutritional Science']: 	98 Integrative Biology-Credit 	1AL Chemistry-A 	98 Asian American Studies-Credit 	R5A German-A 	1A Chemistry-A 	10A Mathematics-A 	sem 1: 	major: ['Nutritional Science']: 	16B Mathematics-A 	3A Chemistry-B 	3AC Sociology-A 	98 Asian American Studies-Credit 	10 Nutritional Science & Tox-A 	11 Nutritional Science & Tox-A 	3AL Chemistry-A 	sem 2: 	major: ['Nutritional Science']: 	1 Economics-B 	32 Molecular & Cell Biology-B 	32L Molecular & Cell Biology-A 	117 Integrative Biology-A 	3BL Chemistry-A 	3B Chemistry-A 
label: 	['1AL Biology', 'R4B College Writing Programs', '2 Statistics', '1 Physical Education', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '1AL Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	90B Molecular & Cell Biology-Credit 	1A Chemistry-B 	R44 Classics-A 	1A Mathematics-B 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	1B Mathematics-A 	R1B Film-A 	3AL Chemistry-A 	2 Psychology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	7A Japanese-A 	3B Chemistry-A 	1B Biology-A 	3AC Sociology-A 
label: 	['1AL Biology', '1A Biology', '8A Physics', '34 Classics', '177 Japanese']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1B Mathematics-A 	1A Chemistry-A 	R5B South Asian-A 	98 Rhetoric-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	N3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	1 Psychology-A 	98 Public Health-Credit 	3BL Chemistry-A 	116 Public Health-Credit 	8A Physics-A 
label: 	['1A Biology', '112 Public Health', '8B Physics', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	94 Peace & Conflict Studies-Credit 	1A Chemistry-B 	2AC Anthropology-A 	1B Biology-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-B 	3AL Chemistry-A 	C61 Psychology-B 	3A Chemistry-B 	98 Philosophy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	98 Cognitive Science-Credit 	8A Physics-B 	12A Philosophy-C 
label: 	['11 History of Art', '1AL Biology', '1A Biology', '50 Molecular & Cell Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	2AC Anthropology-A 	1A Chemistry-A 	53 Mathematics-B 	24 Linguistics-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A Rhetoric-A 	C160 Public Health-A 	3AL Chemistry-A 	3A Chemistry-A 	1B Biology-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	8A Physics-A 	3B Chemistry-B 	107 Rhetoric-A 	R2B Asian American Studies-B 
label: 	['8B Physics', '1A Biology', '1AL Biology', '50 Slavic Languages & Lit']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Mathematics-Credit 	10A Mathematics-A 	1AL Chemistry-A 	R2A Asian American Studies-A 	1A Chemistry-A 	24 Integrative Biology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R2B Asian American Studies-A 	10B Mathematics-A 	98 Public Health-Credit 	116 Public Health-Credit 	98 Mathematics-Credit 	3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Psychology-A 	3B Chemistry-A 	1B Biology-A 	20A Music-A 	3BL Chemistry-A 	301 Mathematics-Credit 
label: 	['1AL Biology', '301 Mathematics', '8A Physics', '26AC Music', '25A Music', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '104 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	39L Journalism-A 	R1B Legal Studies-A 	10A Mathematics-B 	1A Chemistry-B 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	4 Political Science-A 	98 Mathematics-Credit 	10B Mathematics-B 	3A Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	115 Global Poverty & Practice-A 	3BL Chemistry-A 	3B Chemistry-A 	8A Physics-B 
label: 	['1A Biology', '131AC Sociology', '8B Physics', '198 Health & Medical Sciences', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	R1B History of Art-A 	1A Chemistry-C 	1AL Chemistry-B 	98 Molecular & Cell Biology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	N3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-B 	1B Biology-B 	3BL Chemistry-B 	61A Computer Science-Credit 
label: 	['8A Physics', '198 Computer Science', '1A Biology', '1AL Biology', '301C Chemistry']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	C62 Molecular & Cell Biology-A 	1A Mathematics-B 	1 Physical Education-Credit 	1A Chemistry-B 	1 Latin-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	20A Music-A 	410 Music-A 	3A Chemistry-B 	1B Biology-A 	10 Gender & Womens Studies-A 	144 Music-A 	1 Physical Education-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	160 Molecular & Cell Biology-A 	104 Molecular & Cell Biology-B 	144 Music-A 	1A Biology-B 	3AL Chemistry-A 	1AL Biology-A 
label: 	['3BL Chemistry', 'R1A Rhetoric']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '1A Chemistry', '7A Physics', '150 Molecular & Cell Biology', '132 Integrative Biology', '100B Molecular & Cell Biology', '8A Physics']
correct: 	[]

sem 0: 	major: ['Nutritional Science']: 	10 Nutritional Science & Tox-A 	R1A English-A 	3AC Anthropology-A 	16A Mathematics-A 	98 Env Sci, Policy, & Mgmt-Credit 	sem 1: 	major: ['Nutritional Science']: 	R1B History of Art-A 	1 Economics-C 	1AL Chemistry-A 	1A Chemistry-B 	98 Public Health-Credit 	sem 2: 	major: ['Nutritional Science']: 	32L Molecular & Cell Biology-A 	98 Nutritional Science & Tox-Credit 	3AL Chemistry-A 	32 Molecular & Cell Biology-A 	3A Chemistry-B 	C62 Molecular & Cell Biology-A 
label: 	['2 Statistics', '1AL Biology', '3B Chemistry', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '1B Biology']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	98BC Music-Credit 	20A Music-A 	10A Mathematics-A 	C12 Earth & Planetary Science-B 	1A Chemistry-B 	sem 1: 	major: ['Music']: 	150A Music-A 	10B Mathematics-A 	49C Music-B 	49B Music-A 	1B Biology-B 	142 Music-A 	sem 2: 	major: ['Music']: 	161A Music-A 	50 Music-A 	R1B African American Studies-A 	150A Music-A 	3AL Chemistry-A 	3A Chemistry-A 	60 Music-A 
label: 	['1AL Biology', '3B Chemistry', '161B Music', '1A Biology', '150A Music', '61 Music', '3BL Chemistry']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Chemical Biology']: 	R1A College Writing Programs-A 	98W Chemistry-Credit 	1A Mathematics-B 	96 Chemistry-Credit 	4A Chemistry-C 	sem 1: 	major: ['Chemical Biology']: 	3A Chemistry-B 	8A Physics-C 	2 Psychology-A 	98 Molecular & Cell Biology-Credit 	1B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	R5B Scandinavian-A 	116 Public Health-Credit 	98 Public Health-Credit 	1B Biology-B 	3B Chemistry-C 
label: 	['3AC Sociology', '1A Biology', '10 Nutritional Science & Tox', '3BL Chemistry', '1AL Biology', '197 Physical Education']
predict: 	['1A Biology', '8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1AL Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics', '140 Integrative Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Nutritional Science']: 	55 Molecular & Cell Biology-A 	10 Nutritional Science & Tox-A 	100A Malay/Indonesian-A 	1AL Chemistry-A 	1A Chemistry-A 	sem 1: 	major: ['Nutritional Science']: 	3AL Chemistry-A 	24 Vision Science-Credit 	16A Mathematics-A 	3A Chemistry-A 	R5A Italian Studies-A 	10 Optometry-A 	sem 2: 	major: ['Nutritional Science']: 	3B Chemistry-A 	32L Molecular & Cell Biology-A 	32 Molecular & Cell Biology-A 	2 Psychology-A 	2 Statistics-A 	3BL Chemistry-A 
label: 	['301B Chemistry', '26AC Music', '1AL Biology', 'R5B Italian Studies', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '104 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R5A Scandinavian-A 	1A Mathematics-A 	1AL Chemistry-A 	1A Chemistry-A 	32 Molecular & Cell Biology-A 	98 Public Policy-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	R5B Scandinavian-A 	98 Public Policy-Credit 	3A Chemistry-A 	3AL Chemistry-A 	25AC Theater Dance & Perf Stds-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	1 Psychology-A 	1B Biology-A 	3BL Chemistry-A 	3B Chemistry-A 
label: 	['8B Physics', '100B Economics', '1AL Biology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '1AL Biology']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['CNR Undeclared']: 	31AC English-A 	3 Spanish-A 	24 Plant Biology-Credit 	1A Mathematics-Credit 	sem 1: 	major: ['CNR Undeclared']: 	1 Anthropology-A 	4 Spanish-B 	1AL Chemistry-A 	16B Mathematics-A 	1A Chemistry-C 	sem 2: 	major: ['CNR Undeclared']: 	R1B History of Art-A 	25 Spanish-A 	3AL Chemistry-A 	1B Biology-B 	3A Chemistry-A 
label: 	['3B Chemistry', '3BL Chemistry', '102A Spanish', '1A Biology', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1AL Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	24 Psychology-Credit 	R1A Rhetoric-B 	10A Mathematics-B 	98 Psychology-Credit 	1A Chemistry-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10B Mathematics-A 	1B Biology-B 	3A Chemistry-A 	3AL Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-B 	7A Japanese-A 	R1B Linguistics-A 	8A Physics-B 	98 Music-Credit 	1A Biology-B 
label: 	['8B Physics', '3B Chemistry', '3BL Chemistry', '3AC Sociology', '29 Music']
predict: 	['110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '100B Molecular & Cell Biology']
correct: 	['3B Chemistry', '8B Physics']

sem 0: 	major: ['Nutritional Science']: 	98 Cognitive Science-Credit 	10 Nutritional Science & Tox-B 	3AC Sociology-B 	1AL Chemistry-A 	1A Chemistry-C 	sem 1: 	major: ['Nutritional Science']: 	3AL Chemistry-A 	28 Classics-Credit 	1 Psychology-A 	R1B English-B 	3A Chemistry-B 	sem 2: 	major: ['Nutritional Science']: 	3B Chemistry-A 	1B Biology-C 	32 Molecular & Cell Biology-B 	32L Molecular & Cell Biology-A 	C20 Earth & Planetary Science-Credit 	16A Mathematics-B 
label: 	['1A Biology', '3BL Chemistry', '16B Mathematics', '2 Statistics', '1AL Biology']
predict: 	['1A Biology', '8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1AL Biology', '1A Chemistry', '132 Integrative Biology', '8A Physics', '100B Molecular & Cell Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	3AC Anthropology-B 	1A Chemistry-C 	1AL Chemistry-B 	1 Psychology-A 	16A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	3AL Chemistry-A 	16B Mathematics-C 	4 Political Science-B 	24 Vision Science-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-B 	98 Public Health-Credit 	R1B Linguistics-B 	1 Physical Education-Credit 	116 Public Health-Credit 	1B Biology-C 
label: 	['1A Biology', '50 Molecular & Cell Biology', '112 UGIS-UG Interdisc Studies', '3BL Chemistry', '1AL Biology']
predict: 	['8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '1AL Biology', '150 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '8A Physics', '140 Integrative Biology', '130A Molecular & Cell Biology']
correct: 	['1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-Credit 	144 Music-Credit 	16 Linguistics-A 	1A Chemistry-A 	1AL Chemistry-A 	1B Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	144 Music-Credit 	53 Mathematics-C 	R1B Celtic Studies-B 	3A Chemistry-A 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-B 	155 Philosophy-B 	1B Biology-B 
label: 	['100 History of Art', '8A Physics', '1AL Biology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Molecular & Cell Biology-Credit 	1AL Chemistry-A 	1A Mathematics-A 	11 History of Art-A 	C61 Psychology-A 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	N3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-B 	3BL Chemistry-A 	R1B Legal Studies-A 	98 Public Health-Credit 	1 Psychology-B 	1B Biology-B 
label: 	['8A Physics', '1A Biology', '1AL Biology', '1 Sociology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	98 Molecular & Cell Biology-Credit 	1AL Chemistry-A 	1A Mathematics-A 	R5A South Asian-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B Theater Dance & Perf Stds-A 	3A Chemistry-A 	3AL Chemistry-A 	1B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	3BL Chemistry-A 	50AC Env Sci, Policy, & Mgmt-A 	1B Biology-A 
label: 	['1AL Biology', '127 Peace & Conflict Studies', '8A Physics', '301B Chemistry', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	179 Political Science-Credit 	1 Political Science-A 	1A Chemistry-B 	R1B History of Art-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	25 Bioengineering-Credit 	7 Engineering-B 	3A Chemistry-B 	3AL Chemistry-A 	54 Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-B 	10 Bioengineering-A 	24 Bioengineering-Credit 	7A Physics-B 	53 Mathematics-B 
label: 	['1AL Biology', '1A Biology', '124B History', '7B Physics', 'C116 Psychology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '104 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1A Near Eastern Studies-A 	1A Chemistry-A 	24 Vision Science-Credit 	1 Physical Education-Credit 	1A Mathematics-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	3AC Sociology-A 	3AL Chemistry-A 	1 Cognitive Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	116 Public Health-Credit 	3B Chemistry-A 	3BL Chemistry-A 	98 Public Health-Credit 	1B Biology-A 
label: 	['1A Biology', '1AL Biology', '95 Integrative Biology', 'R5B Scandinavian', '82 UGIS-UG Interdisc Studies', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-B 	R1B French-A 	1A Chemistry-C 	10A Mathematics-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10B Mathematics-B 	3A Chemistry-B 	45B English-A 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	165 English-A 	1B Biology-B 	3B Chemistry-B 	45A English-A 	3BL Chemistry-A 
label: 	['1A Biology', '1AL Biology', '122 English', '117S English', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R44 Classics-A 	90B Molecular & Cell Biology-Credit 	1A Mathematics-B 	1AL Chemistry-A 	1A Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-C 	1B Mathematics-B 	3AL Chemistry-A 	R1B History of Art-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	10 Geography-A 	116 Public Health-Credit 	3B Chemistry-B 	1B Biology-A 	98 Public Health-Credit 
label: 	['1AL Biology', '1 Spanish', '194 Integrative Biology', '8A Physics', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	1AL Chemistry-A 	24 Vision Science-Credit 	R1A Comparative Literature-A 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	R5B German-A 	98 Public Health-Credit 	3AL Chemistry-A 	1B Mathematics-A 	1 Physical Education-Credit 	10 Nutritional Science & Tox-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	20AC LGBT Studies-A 	3BL Chemistry-A 	98 Art Practice-Credit 	1 Psychology-A 	3B Chemistry-A 	1B Biology-A 
label: 	['1A Biology', '1AL Biology', '32 Integrative Biology', '180 History', '174 Korean', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Chemical Biology']: 	98 Molecular & Cell Biology-Credit 	1A Chemistry-A 	1A Mathematics-B 	1AL Chemistry-A 	1 Sociology-A 	sem 1: 	major: ['Chemical Biology']: 	28AC African American Studies-A 	3A Chemistry-B 	1B Mathematics-B 	R1A Comparative Literature-B 	sem 2: 	major: ['Chemical Biology']: 	3B Chemistry-B 	8A Physics-A 	R1B Comparative Literature-B 	3AL Chemistry-A 	1B Biology-B 
label: 	['1A Biology', '1AL Biology', '8B Physics', '3BL Chemistry', '1 Psychology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '150 Molecular & Cell Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Nutritional Science']: 	1AL Chemistry-A 	10 Nutritional Science & Tox-A 	98 Architecture-Credit 	1A Chemistry-C 	R2A Asian American Studies-A 	sem 1: 	major: ['Nutritional Science']: 	R5B South & SE Asian Studies-A 	3A Chemistry-C 	3AL Chemistry-A 	98 Nutritional Science & Tox-Credit 	16A Mathematics-B 	sem 2: 	major: ['Nutritional Science']: 	3AC Sociology-A 	3BL Chemistry-A 	3B Chemistry-C 	32L Molecular & Cell Biology-A 	32 Molecular & Cell Biology-B 
label: 	['1A Biology', '2 Statistics', 'C1 Environ Econ & Policy', '1AL Biology']
predict: 	['1B Biology', '140 Integrative Biology', '137B Physics', '137A Physics', '150L Molecular & Cell Biology', '7C Physics', 'H7B Physics', 'C148 Molecular & Cell Biology', '160L Molecular & Cell Biology', '105 Physics']
correct: 	[]

sem 0: 	major: ['Microbial Biology']: 	1A Chemistry-A 	16A Mathematics-A 	24 Earth & Planetary Science-Credit 	8A Physics-A 	2 Statistics-B 	1AL Chemistry-A 	sem 1: 	major: ['Microbial Biology']: 	3A Chemistry-B 	1B Biology-A 	3AL Chemistry-A 	8B Physics-B 	sem 2: 	major: ['Microbial Biology']: 	98 Ethnic Studies-Credit 	16B Mathematics-A 	3BL Chemistry-A 	3B Chemistry-A 	301C Chemistry-Credit 
label: 	['R5B Slavic Languages & Lit', '160 Plant Biology', '1AL Biology', '301C Chemistry', '1A Biology', '301B Chemistry', '1 Spanish']
